5 digit NTD ID,4 digit NTD ID,Agency,Mode,TOS,Active,Reporter Type,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Average Trip Length FY, Fares FY , Operating Expenses FY , Average Cost per Trip FY , Average Fares per Trip FY 
00001,0001,King County Department of Transportation - Metro Transit Division,DR,PT,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,149,970",2018,12,2018,"8,840,480","883,312",10.01," $913,277 "," $68,155,901 ", $77.16 , $1.03 
00001,0001,King County Department of Transportation - Metro Transit Division,DT,PT,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,149,970",2018,12,2018,"1,969,214","143,747",13.70," $148,623 "," $2,484,851 ", $17.29 , $1.03 
00001,0001,King County Department of Transportation,FB,DO,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,149,970",2018,12,2018,"3,323,914","664,365",5.00," $3,189,322 "," $6,007,779 ", $9.04 , $4.80 
00001,0001,King County Department of Transportation - Metro Transit Division,LR,DO,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,149,970",2018,12,2018,,,,,,,
00001,0001,King County Department of Transportation - Metro Transit Division,MB,DO,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,149,970",2018,12,2018,"502,807,522","103,435,175",4.86," $141,559,189 "," $550,309,447 ", $5.32 , $1.37 
00001,0001,King County Department of Transportation - Metro Transit Division,MB,PT,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,149,970",2018,12,2018,"3,171,300","826,450",3.84," $1,038,089 "," $10,141,948 ", $12.27 , $1.26 
00001,0001,King County Department of Transportation - Metro Transit Division,SR,DO,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,149,970",2018,12,2018,"1,856,308","1,685,668",1.10," $1,405,910 "," $10,503,016 ", $6.23 , $0.83 
00001,0001,King County Department of Transportation - Metro Transit Division,TB,DO,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,149,970",2018,12,2018,"34,367,474","17,950,742",1.91," $23,655,207 "," $71,487,600 ", $3.98 , $1.32 
00001,0001,King County Department of Transportation - Metro Transit Division,VP,DO,Active,Full Reporter,Seattle,WA,14,"Seattle, WA","1,010","3,059,393","2,134","2,149,970",2018,12,2018,"65,559,773","3,464,738",18.92," $7,224,125 "," $10,427,848 ", $3.01 , $2.09 
00002,0002,Spokane Transit Authority,DR,DO,Active,Full Reporter,Spokane,WA,96,"Spokane, WA",164,"387,847",248,"430,046",2018,12,2018,"2,139,425","255,092",8.39," $602,773 "," $9,940,969 ", $38.97 , $2.36 
00002,0002,Spokane Transit Authority,DR,PT,Active,Full Reporter,Spokane,WA,96,"Spokane, WA",164,"387,847",248,"430,046",2018,12,2018,"2,103,052","220,234",9.55," $201,588 "," $3,976,560 ", $18.06 , $0.92 
00002,0002,Spokane Transit Authority,MB,DO,Active,Full Reporter,Spokane,WA,96,"Spokane, WA",164,"387,847",248,"430,046",2018,12,2018,"41,053,474","10,069,599",4.08," $9,356,618 "," $52,780,312 ", $5.24 , $0.93 
00002,0002,Spokane Transit Authority,VP,DO,Active,Full Reporter,Spokane,WA,96,"Spokane, WA",164,"387,847",248,"430,046",2018,12,2018,"4,263,290","157,433",27.08," $497,783 "," $600,211 ", $3.81 , $3.16 
00003,0003,Pierce County Transportation Benefit Area Authority,DR,DO,Active,Full Reporter,Tacoma,WA,14,"Seattle, WA","1,010","3,059,393",292,"561,771",2018,12,2018,"696,413","96,206",7.24," $136,256 "," $5,363,449 ", $55.75 , $1.42 
